Artist_01,Artist_02
Camila Cabello,Kendrick Lamar
Camila Cabello,J. Cole
Camila Cabello,Post Malone
Camila Cabello,Megan Thee Stallion
Camila Cabello,Nicki Minaj
Camila Cabello,Lil Wayne
Camila Cabello,Future
Camila Cabello,21 Savage
Camila Cabello,Metro Boomin
Camila Cabello,Snoop Dogg
Camila Cabello,Eminem
Camila Cabello,Rihanna
Camila Cabello,Beyoncé
Camila Cabello,SZA
Camila Cabello,H.E.R.
Camila Cabello,Frank Ocean
Camila Cabello,Coldplay
Camila Cabello,Imagine Dragons
Camila Cabello,Twenty One Pilots
Camila Cabello,Fall Out Boy
Camila Cabello,Panic! at the Disco
Camila Cabello,Linkin Park
Camila Cabello,Foo Fighters
Camila Cabello,Calvin Harris
Camila Cabello,David Guetta
Camila Cabello,The Chainsmokers
Camila Cabello,Marshmello
Camila Cabello,Zedd
Camila Cabello,Kygo
Camila Cabello,Avicii
Camila Cabello,Diplo
Camila Cabello,Skrillex
Camila Cabello,Martin Garrix
Camila Cabello,Bad Bunny
Camila Cabello,Shakira
Camila Cabello,Ozuna
Camila Cabello,Maluma
Camila Cabello,Karol G
Camila Cabello,Luis Fonsi
Camila Cabello,Nicky Jam
Camila Cabello,BTS
Camila Cabello,BLACKPINK
Camila Cabello,Stray Kids
Camila Cabello,Maren Morris
Camila Cabello,Sam Smith
Camila Cabello,Ellie Goulding
Lady Gaga,Miley Cyrus
Lady Gaga,Halsey
Lady Gaga,Drake
Lady Gaga,Jay-Z
Lady Gaga,J. Cole
Lady Gaga,Travis Scott
Lady Gaga,Post Malone
Lady Gaga,Megan Thee Stallion
Lady Gaga,Cardi B
Lady Gaga,Lil Wayne
Lady Gaga,Future
Lady Gaga,21 Savage
Lady Gaga,Metro Boomin
Lady Gaga,Eminem
Lady Gaga,SZA
Lady Gaga,H.E.R.
Lady Gaga,Frank Ocean
Lady Gaga,Imagine Dragons
Lady Gaga,Twenty One Pilots
Lady Gaga,Fall Out Boy
Lady Gaga,Panic! at the Disco
Lady Gaga,Linkin Park
Lady Gaga,Foo Fighters
Lady Gaga,The Chainsmokers
Lady Gaga,Marshmello
Lady Gaga,Kygo
Lady Gaga,Avicii
Lady Gaga,Diplo
Lady Gaga,Skrillex
Lady Gaga,Martin Garrix
Lady Gaga,Bad Bunny
Lady Gaga,J Balvin
Lady Gaga,Shakira
Lady Gaga,Daddy Yankee
Lady Gaga,Ozuna
Lady Gaga,Maluma
Lady Gaga,Karol G
Lady Gaga,Luis Fonsi
Lady Gaga,Nicky Jam
Lady Gaga,BTS
Lady Gaga,Stray Kids
Lady Gaga,Kacey Musgraves
Lady Gaga,Maren Morris
Lady Gaga,Sam Smith
Lady Gaga,Rita Ora
Katy Perry,Miley Cyrus
Katy Perry,Demi Lovato
Katy Perry,Halsey
Katy Perry,Drake
Katy Perry,Jay-Z
Katy Perry,Kendrick Lamar
Katy Perry,J. Cole
Katy Perry,Travis Scott
Katy Perry,Post Malone
Katy Perry,Megan Thee Stallion
Katy Perry,Cardi B
Katy Perry,Lil Wayne
Katy Perry,Future
Katy Perry,Metro Boomin
Katy Perry,Eminem
Katy Perry,Rihanna
Katy Perry,SZA
Katy Perry,H.E.R.
Katy Perry,Frank Ocean
Katy Perry,Coldplay
Katy Perry,Imagine Dragons
Katy Perry,Twenty One Pilots
Katy Perry,Fall Out Boy
Katy Perry,Panic! at the Disco
Katy Perry,Linkin Park
Katy Perry,Foo Fighters
Katy Perry,The Chainsmokers
Katy Perry,Marshmello
Katy Perry,Kygo
Katy Perry,Avicii
Katy Perry,Diplo
Katy Perry,Skrillex
Katy Perry,Martin Garrix
Katy Perry,Bad Bunny
Katy Perry,J Balvin
Katy Perry,Shakira
Katy Perry,Ozuna
Katy Perry,Maluma
Katy Perry,Karol G
Katy Perry,Luis Fonsi
Katy Perry,Nicky Jam
Katy Perry,BTS
Katy Perry,BLACKPINK
Katy Perry,Stray Kids
Katy Perry,Maren Morris
Katy Perry,Sam Smith
Katy Perry,Rita Ora
Miley Cyrus,Halsey
Miley Cyrus,Drake
Miley Cyrus,Jay-Z
Miley Cyrus,Kendrick Lamar
Miley Cyrus,J. Cole
Miley Cyrus,Post Malone
Miley Cyrus,Megan Thee Stallion
Miley Cyrus,Cardi B
Miley Cyrus,Nicki Minaj
Miley Cyrus,Lil Wayne
Miley Cyrus,21 Savage
Miley Cyrus,Metro Boomin
Miley Cyrus,Snoop Dogg
Miley Cyrus,Eminem
Miley Cyrus,Rihanna
Miley Cyrus,SZA
Miley Cyrus,H.E.R.
Miley Cyrus,Frank Ocean
Miley Cyrus,Coldplay
Miley Cyrus,Imagine Dragons
Miley Cyrus,Twenty One Pilots
Miley Cyrus,Fall Out Boy
Miley Cyrus,Panic! at the Disco
Miley Cyrus,Linkin Park
Miley Cyrus,Foo Fighters
Miley Cyrus,Calvin Harris
Miley Cyrus,David Guetta
Miley Cyrus,The Chainsmokers
Miley Cyrus,Marshmello
Miley Cyrus,Zedd
Miley Cyrus,Kygo
Miley Cyrus,Avicii
Miley Cyrus,Diplo
Miley Cyrus,Skrillex
Miley Cyrus,Martin Garrix
Miley Cyrus,Bad Bunny
Miley Cyrus,J Balvin
Miley Cyrus,Shakira
Miley Cyrus,Daddy Yankee
Miley Cyrus,Ozuna
Miley Cyrus,Maluma
Miley Cyrus,Karol G
Miley Cyrus,Luis Fonsi
Miley Cyrus,Nicky Jam
Miley Cyrus,BTS
Miley Cyrus,BLACKPINK
Miley Cyrus,Stray Kids
Miley Cyrus,Kacey Musgraves
Miley Cyrus,Maren Morris
Miley Cyrus,Sam Smith
Miley Cyrus,Ellie Goulding
Miley Cyrus,Rita Ora
Demi Lovato,Halsey
Demi Lovato,Drake
Demi Lovato,Kanye West
Demi Lovato,Jay-Z
Demi Lovato,Kendrick Lamar
Demi Lovato,J. Cole
Demi Lovato,Travis Scott
Demi Lovato,Post Malone
Demi Lovato,Megan Thee Stallion
Demi Lovato,Cardi B
Demi Lovato,Future
Demi Lovato,21 Savage
Demi Lovato,Metro Boomin
Demi Lovato,Snoop Dogg
Demi Lovato,Eminem
Demi Lovato,Beyoncé
Demi Lovato,SZA
Demi Lovato,H.E.R.
Demi Lovato,Frank Ocean
Demi Lovato,Coldplay
Demi Lovato,Imagine Dragons
Demi Lovato,Twenty One Pilots
Demi Lovato,Panic! at the Disco
Demi Lovato,Linkin Park
Demi Lovato,Foo Fighters
Demi Lovato,David Guetta
Demi Lovato,The Chainsmokers
Demi Lovato,Kygo
Demi Lovato,Avicii
Demi Lovato,Diplo
Demi Lovato,Skrillex
Demi Lovato,Martin Garrix
Demi Lovato,Bad Bunny
Demi Lovato,J Balvin
Demi Lovato,Shakira
Demi Lovato,Daddy Yankee
Demi Lovato,Ozuna
Demi Lovato,Maluma
Demi Lovato,Karol G
Demi Lovato,Nicky Jam
Demi Lovato,BTS
